N,P,K,temperature,humidity,ph,rainfall,label
1.89,59.04,21.79,28.89,82.71,6.25,63.55,mungbean
61.33,36.96,18.97,19.06,66.35,6.53,100.03,maize
28.5,55.94,16.28,32.55,30.0,5.75,147.48,pigeonpeas
12.43,28.84,32.84,28.3,95.18,5.75,228.06,coconut
88.56,12.13,48.18,27.8,94.83,6.16,27.87,muskmelon
88.89,53.0,21.41,23.55,65.85,5.88,77.28,maize
28.19,74.95,22.39,25.64,63.87,6.42,68.04,blackgram
114.38,36.71,29.72,25.57,66.72,7.11,163.26,coffee
23.14,122.25,204.43,20.41,83.65,6.28,72.55,grapes
0.88,59.56,15.86,29.44,82.8,6.13,51.0,mungbean
117.23,38.31,34.69,23.63,53.21,7.02,177.07,coffee
24.99,74.86,17.76,23.77,24.61,5.57,101.64,kidneybeans
129.2,40.32,15.79,24.22,77.49,5.97,69.64,cotton
0.35,141.48,198.44,23.15,91.69,6.32,103.27,apple
97.7,71.15,50.44,26.69,79.73,6.11,116.06,banana
26.72,63.87,19.0,25.57,65.83,7.33,66.52,blackgram
85.1,6.4,50.89,25.6,82.66,6.9,53.91,watermelon
11.49,19.81,27.98,25.28,90.03,5.65,211.3,coconut
5.75,57.62,19.23,27.55,61.41,6.13,64.3,lentil
11.18,19.27,12.72,33.2,91.31,6.5,109.29,orange
48.72,69.66,49.25,35.29,90.27,6.84,176.12,papaya
24.42,55.97,15.36,21.33,64.67,5.35,194.55,pigeonpeas
31.69,23.95,14.11,10.37,94.05,7.41,115.79,orange
63.13,48.11,39.1,26.88,80.45,6.1,294.46,rice
111.62,7.91,47.62,28.54,91.65,6.86,24.74,muskmelon
38.42,72.36,22.29,34.37,40.96,6.92,111.48,pigeonpeas
105.01,19.8,50.34,27.34,94.14,6.25,27.77,muskmelon
19.99,14.69,31.13,25.28,95.06,6.81,159.21,coconut
66.15,54.11,42.24,25.26,79.36,7.33,188.33,jute
80.01,76.03,47.08,26.25,83.06,5.78,95.75,banana
34.54,78.45,17.76,28.32,67.01,7.15,74.29,blackgram
43.1,68.08,47.69,43.76,93.35,6.46,168.81,papaya
104.51,84.63,50.48,28.2,77.59,5.58,93.58,banana
130.14,59.27,22.87,29.71,82.07,5.66,80.1,cotton
107.47,12.8,53.3,25.26,81.94,6.28,47.58,watermelon
24.2,22.22,7.82,22.04,90.22,7.23,119.8,orange
100.1,29.03,28.38,23.36,68.87,7.16,191.94,coffee
44.61,62.66,84.36,19.11,16.56,5.89,100.46,chickpea
76.31,58.32,43.66,20.32,80.11,6.06,276.02,rice
4.23,43.87,19.13,29.41,56.45,3.95,42.79,mothbeans
18.59,28.79,14.45,29.49,93.01,6.68,107.12,orange
2.07,18.96,33.13,28.46,47.33,5.63,80.68,mango
82.31,38.43,30.86,26.5,60.5,7.25,151.66,coffee
37.37,57.91,21.35,29.04,50.08,8.32,48.91,mothbeans
54.78,59.52,24.48,27.19,63.26,7.13,68.94,blackgram
31.25,5.29,38.27,22.4,87.75,6.91,133.53,pomegranate
81.3,36.3,18.37,19.08,56.27,6.98,76.12,maize
22.54,55.1,16.37,28.65,52.64,4.42,53.08,mothbeans
132.45,40.41,23.03,25.2,76.89,7.02,64.54,cotton
43.7,47.64,46.88,33.01,93.97,6.15,178.54,papaya
39.92,75.64,23.45,22.73,53.07,4.7,100.44,pigeonpeas
39.17,51.85,23.47,26.59,56.91,7.3,52.14,mothbeans
30.81,79.16,20.58,18.47,22.06,5.57,99.96,kidneybeans
94.55,33.4,30.13,26.69,68.15,7.38,176.76,coffee
44.02,59.16,18.8,31.17,69.7,7.09,74.23,blackgram
23.23,73.54,21.75,20.47,63.52,6.13,48.9,lentil
1.84,7.79,26.87,27.52,98.49,5.85,224.16,coconut
77.77,50.5,37.77,21.32,81.85,6.03,249.7,rice
19.97,13.42,7.96,11.68,94.48,7.04,102.43,orange
99.79,17.74,53.75,27.51,90.68,6.63,23.01,muskmelon
113.15,17.34,46.89,26.1,82.91,6.3,44.45,watermelon
40.21,79.18,19.18,24.84,22.68,5.82,74.94,kidneybeans
80.73,9.68,51.38,24.03,80.33,6.85,50.26,watermelon
99.54,85.08,48.26,29.92,81.67,5.54,99.8,banana
25.31,70.04,17.97,31.57,60.36,4.81,146.52,pigeonpeas
29.21,50.48,16.87,24.21,47.11,6.34,52.77,mothbeans
81.55,74.67,53.31,28.83,78.51,5.88,106.01,banana
66.82,43.81,42.74,23.12,83.46,7.22,196.61,jute
115.77,40.04,15.71,28.18,77.5,6.72,94.39,cotton
3.34,18.93,40.8,22.67,94.12,6.35,132.97,pomegranate
32.6,61.21,22.05,26.12,47.7,6.45,192.99,pigeonpeas
27.92,69.13,81.96,20.89,17.65,6.55,69.56,chickpea
89.76,35.84,20.7,24.1,72.54,6.01,101.06,maize
7.69,11.77,33.54,27.86,94.55,5.72,180.48,coconut
2.09,16.74,43.46,23.59,90.08,6.23,143.04,pomegranate
97.57,35.3,44.7,20.3,83.56,6.29,297.18,rice
25.42,60.06,18.14,22.59,38.6,5.77,189.86,pigeonpeas
25.95,139.12,200.53,8.39,82.79,5.88,74.43,grapes
41.15,63.36,20.19,26.98,68.05,6.28,65.85,blackgram
8.03,9.65,27.55,26.52,93.6,6.13,148.9,coconut
34.49,63.36,75.39,17.1,18.99,6.32,85.72,chickpea
52.32,74.19,16.14,31.44,68.34,6.87,71.46,blackgram
37.33,9.89,32.65,25.12,93.75,5.67,171.72,coconut
64.71,49.41,17.74,22.43,68.03,6.74,70.32,maize
111.18,76.31,53.3,28.52,84.46,5.91,109.86,banana
14.05,37.34,19.86,31.37,41.0,5.37,34.34,mothbeans
96.44,85.73,51.99,28.56,75.52,6.36,103.75,banana
58.56,77.74,22.22,20.33,24.09,5.57,131.15,kidneybeans
18.67,5.79,35.38,23.02,90.38,6.51,115.94,pomegranate
33.84,79.39,84.61,20.29,14.8,8.09,101.91,chickpea
35.73,13.56,34.98,25.02,90.28,6.74,157.95,coconut
2.05,28.86,6.42,27.71,90.34,6.16,110.18,orange
31.63,65.92,20.8,27.82,60.35,5.35,128.84,pigeonpeas
97.21,76.87,53.88,25.2,84.14,6.33,98.93,banana
109.42,86.59,46.13,28.6,80.0,6.39,117.6,banana
24.89,137.56,197.81,23.64,91.52,5.95,113.59,apple
52.95,78.88,23.21,15.02,22.45,5.53,83.18,kidneybeans
113.16,6.63,46.08,28.28,90.49,6.62,21.44,muskmelon
17.7,36.21,23.2,29.48,85.88,6.35,59.99,mungbean
37.53,55.47,24.84,26.08,64.24,6.26,40.64,mothbeans
32.68,21.34,33.39,29.72,92.73,5.75,183.56,coconut
60.44,38.42,24.0,24.99,66.95,6.4,93.25,maize
20.52,141.39,197.74,20.49,92.78,5.83,111.06,apple
36.33,28.62,25.06,27.32,90.25,6.86,186.66,coconut
47.7,58.36,17.99,18.59,23.63,5.64,78.96,kidneybeans
23.84,45.85,16.64,24.93,53.67,9.28,40.48,mothbeans
13.52,38.17,18.92,27.49,87.34,6.21,41.46,mungbean
18.38,67.47,15.72,26.21,65.03,6.77,59.56,lentil
94.74,19.4,53.2,26.56,81.72,6.27,44.28,watermelon
17.41,58.02,18.45,27.16,82.04,6.42,45.49,mungbean
37.88,78.66,23.93,25.97,61.21,5.93,144.73,pigeonpeas
35.92,61.8,21.92,23.02,67.56,6.41,125.7,pigeonpeas
30.14,59.7,15.77,31.23,45.31,6.97,162.55,pigeonpeas
53.13,63.38,16.74,22.12,23.78,5.55,81.59,kidneybeans
71.73,57.41,15.13,18.68,59.16,5.54,69.07,maize
90.26,55.81,43.81,25.43,87.21,6.02,155.36,jute
22.09,65.47,78.9,19.92,19.89,6.27,91.17,chickpea
25.03,132.27,197.54,23.44,93.5,6.05,115.24,apple
20.41,18.23,13.76,21.56,91.4,6.35,117.49,orange
120.0,37.58,16.98,25.84,83.88,6.63,94.08,cotton
82.85,58.51,40.75,22.72,82.57,6.19,245.29,rice
34.16,24.29,25.65,28.11,92.35,6.34,226.12,coconut
12.79,144.31,201.9,32.65,82.79,5.81,66.0,grapes
5.98,71.21,16.72,28.47,66.13,6.16,73.87,lentil
90.64,11.93,50.49,26.85,89.99,6.24,50.9,watermelon
28.09,135.4,203.72,17.82,80.34,6.44,68.78,grapes
21.19,130.43,200.21,30.28,81.67,6.21,73.61,grapes
38.0,72.32,22.33,34.95,62.88,6.81,70.33,blackgram
6.44,13.45,44.44,18.03,87.38,6.94,112.7,pomegranate
31.39,62.68,87.05,19.16,15.87,7.33,93.65,chickpea
15.0,7.67,29.94,29.37,98.87,5.52,219.77,coconut
94.18,47.31,17.47,24.97,63.91,6.27,77.96,maize
36.67,75.02,19.51,26.62,65.86,6.49,50.77,lentil
2.71,141.71,203.06,17.84,82.66,5.93,73.89,grapes
93.39,15.43,51.99,26.11,84.93,6.91,47.34,watermelon
73.15,56.91,43.43,26.81,85.8,6.99,192.83,jute
84.96,25.5,26.94,25.08,57.69,7.11,188.71,coffee
119.55,29.85,28.99,27.18,64.6,7.12,159.81,coffee
57.17,65.13,24.06,18.21,21.34,5.61,117.64,kidneybeans
85.99,37.1,36.81,24.9,83.07,6.22,159.26,jute
33.92,58.68,23.85,29.91,46.94,5.3,68.35,mothbeans
29.5,67.81,16.04,18.85,21.41,5.83,145.55,kidneybeans
102.81,71.34,46.4,28.11,77.08,6.0,106.35,banana
53.42,55.37,18.79,18.37,18.14,5.56,97.23,kidneybeans
14.37,12.32,26.74,28.96,99.55,6.12,225.72,coconut
47.27,69.23,46.4,34.92,91.0,6.79,204.58,papaya
49.58,56.4,47.06,38.63,92.26,6.96,94.77,papaya
7.23,41.72,16.99,27.74,83.06,6.56,54.7,mungbean
22.05,23.99,26.26,33.48,50.25,5.01,78.07,mango
23.86,10.49,43.07,21.66,86.17,6.13,129.16,pomegranate
82.57,11.04,45.23,24.99,85.37,6.91,52.7,watermelon
59.16,70.09,18.58,21.48,18.86,5.94,105.28,kidneybeans
81.06,53.29,15.82,18.48,59.94,5.74,103.59,maize
22.66,124.48,199.69,23.32,90.08,5.77,100.06,apple
52.01,61.04,15.68,28.17,62.67,6.76,72.78,blackgram
20.84,57.05,89.52,18.18,18.62,7.37,80.28,chickpea
16.59,143.04,195.41,12.18,80.81,5.9,73.46,grapes
10.9,144.95,204.8,24.79,80.04,5.64,68.22,grapes
90.0,71.64,51.91,27.86,79.05,5.86,96.5,banana
117.98,41.04,15.01,26.48,80.91,7.44,78.07,cotton
93.36,52.59,39.74,20.68,81.97,6.21,202.09,rice
29.79,7.52,36.9,21.22,87.86,6.25,134.04,pomegranate
3.07,35.1,21.7,28.93,84.11,6.49,50.39,mungbean
102.94,75.38,53.62,29.71,80.18,5.85,97.02,banana
76.36,52.48,41.39,25.13,85.37,7.14,180.89,jute
12.61,44.83,17.37,27.29,81.79,6.8,56.94,mungbean
60.52,51.59,16.78,25.69,57.97,6.12,64.27,maize
31.95,78.52,78.89,18.72,19.24,8.03,72.44,chickpea
50.49,74.95,81.53,20.27,14.72,7.13,65.23,chickpea
46.47,68.94,85.96,18.86,14.36,7.19,103.31,chickpea
7.78,131.72,204.47,20.99,93.34,6.24,111.2,apple
74.51,54.41,38.41,26.52,83.43,6.14,269.1,rice
55.6,63.65,16.54,15.25,22.52,5.82,90.65,kidneybeans
67.09,47.26,46.13,22.73,90.52,6.21,243.72,papaya
114.81,34.4,25.84,27.45,59.44,7.12,157.0,coffee
29.31,67.3,18.1,26.82,65.04,6.48,67.58,blackgram
58.3,55.22,24.98,21.77,23.8,5.65,61.29,kidneybeans
22.67,23.86,28.81,31.53,52.28,5.63,94.27,mango
20.83,33.56,30.1,31.65,48.98,4.57,73.42,mango
27.75,29.38,34.62,26.17,91.0,5.72,203.18,coconut
33.8,53.02,48.87,35.7,90.79,6.86,133.98,papaya
33.38,130.82,201.12,20.61,90.33,5.72,103.2,apple
33.9,71.62,86.93,20.71,15.41,6.7,71.1,chickpea
20.46,18.78,44.04,19.1,88.67,6.62,112.17,pomegranate
24.22,71.42,87.33,18.52,18.65,8.39,73.15,chickpea
89.37,12.82,46.72,27.92,91.61,6.16,22.05,muskmelon
23.5,130.61,199.82,22.39,92.36,6.2,110.84,apple
95.9,14.37,52.8,29.35,92.6,6.86,23.91,muskmelon
80.81,12.86,50.05,28.58,94.87,6.91,21.62,muskmelon
30.43,15.4,30.58,31.17,50.07,5.91,72.53,mango
8.65,29.77,34.13,35.78,54.21,6.95,60.43,mango
122.99,43.2,23.2,23.47,79.65,5.53,84.08,cotton
30.21,25.09,30.53,27.44,91.14,5.63,170.56,coconut
36.99,12.76,36.17,21.7,86.27,6.59,126.71,pomegranate
91.01,41.77,39.39,20.55,80.1,6.94,278.97,rice
110.05,15.18,46.98,28.48,93.96,6.48,25.37,muskmelon
111.42,37.51,27.19,26.13,57.84,7.48,173.94,coffee
49.12,55.75,45.11,42.38,93.02,6.2,233.12,papaya
15.78,48.25,16.61,28.58,60.14,8.37,31.93,mothbeans
89.71,45.64,18.46,20.97,74.75,5.56,103.35,maize
9.38,27.02,30.52,33.95,47.57,6.87,66.79,mango
113.12,10.74,50.89,29.16,91.21,6.17,29.72,muskmelon
37.55,73.47,15.14,22.72,38.58,5.31,117.23,pigeonpeas
14.33,59.74,21.84,29.85,81.43,6.38,53.87,mungbean
116.69,26.59,26.04,25.29,57.52,6.87,171.93,coffee
4.15,144.39,195.39,30.4,81.09,6.37,69.85,grapes
35.07,18.19,28.34,26.04,98.0,6.44,182.13,coconut
114.89,42.96,21.21,23.31,83.46,7.12,83.82,cotton
28.37,73.77,16.01,23.28,41.05,5.8,197.84,pigeonpeas
84.47,49.61,44.01,20.32,81.12,6.93,285.27,rice
13.18,131.45,201.18,22.87,91.96,6.4,114.0,apple
35.85,17.1,35.04,20.24,89.22,6.23,113.98,pomegranate
90.74,26.74,25.77,26.53,57.87,6.41,150.17,coffee
55.2,71.27,82.99,18.3,16.0,7.51,104.77,chickpea
112.39,42.43,18.06,29.08,82.24,6.84,99.94,cotton
76.48,36.83,39.05,23.16,86.7,6.31,166.42,jute
6.11,32.75,31.77,27.27,49.12,5.33,86.78,mango
90.81,90.57,50.18,27.31,78.14,6.08,111.9,banana
32.07,50.28,45.74,28.36,93.14,6.57,168.55,papaya
30.66,130.87,202.34,20.42,93.95,6.03,107.31,apple
52.24,74.75,79.57,17.32,16.42,6.02,92.8,chickpea
69.45,37.87,41.11,22.02,82.32,5.73,237.81,rice
30.98,62.19,18.07,24.71,54.85,5.5,170.6,pigeonpeas
22.28,40.78,20.02,29.85,63.95,4.91,64.88,mothbeans
21.65,37.15,15.57,27.32,85.86,6.54,45.84,mungbean
95.57,54.28,39.12,23.74,88.83,6.8,192.62,jute
17.18,12.06,36.57,18.22,94.47,6.24,115.8,pomegranate
35.9,139.68,203.82,24.5,82.17,6.42,74.0,grapes
14.89,51.54,16.41,28.57,44.63,5.28,34.84,mothbeans
75.65,45.5,44.69,25.78,84.38,6.84,198.73,jute
94.47,58.65,18.73,20.17,67.88,6.11,61.27,maize
32.95,17.03,31.74,27.17,95.59,5.59,202.66,coconut
68.01,39.19,16.05,23.09,69.13,5.55,106.81,maize
50.88,55.68,75.98,18.86,19.46,7.12,84.91,chickpea
92.39,86.59,51.66,26.43,79.6,5.69,96.31,banana
79.21,35.28,39.69,20.39,80.48,5.68,257.31,rice
26.66,19.57,29.88,25.93,98.95,5.87,148.22,coconut
90.73,42.22,39.09,25.1,72.7,6.04,157.64,jute
12.84,21.31,30.34,36.06,46.03,6.86,91.8,mango
80.6,18.35,47.45,29.19,94.06,6.86,29.92,muskmelon
31.06,137.88,201.44,23.03,90.59,6.33,117.64,apple
90.61,92.6,48.21,27.76,75.51,5.54,111.61,banana
34.1,75.43,20.46,36.37,32.07,6.01,169.03,pigeonpeas
53.8,64.88,15.51,29.02,66.74,6.68,72.49,blackgram
39.28,6.58,14.03,30.35,91.57,7.46,105.76,orange
30.9,65.34,76.83,17.72,18.09,6.04,86.01,chickpea
102.41,8.83,47.63,24.12,83.05,6.74,40.71,watermelon
104.2,84.0,49.86,27.52,76.76,6.31,106.25,banana
3.43,149.09,195.39,23.01,92.63,5.87,101.65,apple
32.98,64.16,80.94,19.78,16.33,6.85,74.5,chickpea
83.83,23.86,27.51,27.58,67.05,6.87,176.02,coffee
21.13,64.35,24.44,30.19,56.86,6.4,111.89,pigeonpeas
32.87,8.06,13.49,20.35,91.27,7.3,108.64,orange
25.88,134.82,201.2,22.18,93.7,6.21,113.35,apple
30.0,9.39,28.72,25.14,91.37,5.76,144.9,coconut
37.09,66.83,52.43,36.51,92.03,6.26,245.68,papaya
98.71,14.86,53.95,25.18,89.62,6.42,49.02,watermelon
0.77,55.67,20.25,30.2,45.86,5.71,26.35,mothbeans
35.38,52.24,51.62,35.49,92.66,6.68,173.85,papaya
42.68,73.46,88.18,18.62,15.96,7.5,97.31,chickpea
34.38,15.65,39.82,21.64,94.75,6.97,114.69,pomegranate
40.93,62.18,86.89,19.31,17.81,7.89,80.84,chickpea
37.83,57.13,52.85,32.68,91.68,6.08,155.56,papaya
32.64,64.46,15.88,22.11,69.81,6.63,57.48,lentil
35.6,145.77,195.77,20.43,92.48,6.11,106.87,apple
26.04,17.37,39.18,18.51,87.74,6.98,131.83,pomegranate
48.36,57.67,83.51,18.03,19.78,6.95,97.24,chickpea
38.72,33.82,33.11,27.36,49.68,6.12,93.2,mango
37.89,70.01,82.74,20.68,16.98,8.48,99.06,chickpea
1.51,14.65,37.63,18.37,87.31,6.8,143.32,pomegranate
102.2,7.82,53.6,24.77,82.26,6.48,47.48,watermelon
45.05,67.22,19.02,24.94,24.16,5.81,111.24,kidneybeans
33.3,55.1,23.66,27.18,86.92,6.14,50.4,mungbean
118.28,15.45,50.96,28.38,91.82,6.35,26.36,muskmelon
100.41,6.92,52.39,25.19,82.63,6.38,47.47,watermelon
53.25,69.97,16.15,15.94,24.37,5.83,134.64,kidneybeans
107.16,15.88,54.65,27.78,90.09,6.55,27.07,muskmelon
34.94,24.87,28.35,29.28,48.78,5.29,87.09,mango
87.82,54.02,40.61,25.4,81.98,6.28,231.59,rice
34.07,77.74,20.69,32.62,68.12,6.51,69.34,blackgram
28.2,76.95,88.19,20.48,15.43,6.85,104.4,chickpea
119.82,70.56,46.13,28.05,83.21,5.79,97.18,banana
33.92,77.39,24.67,29.43,63.21,6.79,71.88,blackgram
21.48,64.39,23.04,26.24,69.89,6.18,125.33,pigeonpeas
40.27,47.52,51.06,36.96,93.21,6.86,142.15,papaya
20.3,79.13,17.51,30.84,58.27,6.33,124.42,pigeonpeas
22.19,55.65,21.31,29.35,85.99,6.41,63.95,mungbean
16.78,9.46,34.24,28.81,94.81,6.52,220.76,coconut
106.15,38.33,17.04,28.13,77.95,5.54,107.21,cotton
0.82,138.13,197.77,37.32,81.13,6.19,71.74,grapes
33.91,149.78,201.79,23.75,94.13,6.34,114.23,apple
10.33,61.09,19.58,27.11,62.06,6.71,45.63,lentil
111.57,70.78,54.67,27.63,78.03,5.86,91.99,banana
80.39,39.39,43.06,26.55,87.03,6.65,187.93,jute
0.81,140.12,199.69,21.39,94.31,6.35,100.56,apple
36.27,13.81,35.85,21.15,92.56,6.79,127.26,pomegranate
36.07,123.82,203.24,21.64,94.95,5.97,113.85,apple
14.77,43.93,18.44,28.56,84.41,6.88,52.64,mungbean
84.77,14.74,50.67,28.66,90.16,6.47,29.25,muskmelon
100.05,20.98,30.9,25.22,58.93,6.54,150.85,coffee
81.91,18.69,28.49,27.15,67.85,6.28,180.98,coffee
38.37,78.77,20.77,24.79,61.5,5.25,152.05,pigeonpeas
66.26,41.25,39.89,25.81,89.73,6.66,175.91,jute
20.72,79.07,22.27,18.05,23.81,5.64,138.55,kidneybeans
113.44,76.62,49.49,27.69,81.64,6.28,101.84,banana
95.09,44.81,23.17,21.51,62.54,6.19,75.07,maize
68.99,50.33,41.28,25.94,82.42,7.45,159.86,jute
99.87,47.55,20.95,18.54,70.0,5.81,104.9,maize
37.25,59.48,23.0,28.5,45.86,4.9,185.18,pigeonpeas
14.6,30.29,31.96,30.77,46.08,4.67,83.56,mango
31.73,74.33,20.18,18.48,20.6,5.5,86.98,kidneybeans
18.95,11.7,35.07,23.74,88.6,6.54,135.48,pomegranate
114.85,14.95,48.42,26.05,80.2,6.74,47.31,watermelon
20.39,65.23,18.29,31.93,67.66,6.46,73.12,blackgram
89.46,58.36,24.26,21.61,57.26,6.98,101.94,maize
98.87,48.89,42.69,26.61,83.4,5.87,234.26,rice
14.9,58.22,15.62,24.74,44.07,7.31,31.77,mothbeans
55.61,62.19,18.68,15.58,18.78,5.76,84.08,kidneybeans
20.34,26.92,27.71,27.32,51.05,5.49,71.95,mango
131.93,38.18,18.96,24.17,77.92,5.75,100.29,cotton
58.85,51.38,45.89,23.73,92.13,6.95,85.72,papaya
37.3,37.97,24.34,29.47,53.29,3.71,46.4,mothbeans
113.21,40.78,23.89,22.44,76.77,6.6,84.05,cotton
15.26,54.38,18.43,28.88,81.92,6.15,63.45,mungbean
27.77,7.8,10.65,16.22,92.16,6.95,105.14,orange
67.48,46.37,42.48,24.13,70.4,6.81,197.83,jute
24.77,55.91,15.53,33.34,61.18,6.07,69.38,blackgram
21.94,45.07,20.2,29.99,81.35,6.68,49.9,mungbean
96.21,38.16,28.53,25.29,69.63,6.3,153.26,coffee
104.93,71.41,45.24,27.25,78.33,5.94,97.88,banana
34.59,79.17,17.24,30.6,59.68,7.05,136.49,pigeonpeas
50.31,69.96,51.95,28.78,94.38,6.78,43.24,papaya
29.52,143.02,204.05,21.64,94.77,6.37,107.41,apple
37.46,9.63,43.7,23.35,87.48,6.04,109.58,pomegranate
65.25,35.81,24.21,22.93,70.93,6.22,65.87,maize
25.35,37.87,27.09,34.32,45.79,6.01,66.56,mango
23.0,23.45,29.9,25.14,90.64,6.31,204.69,coconut
31.03,128.64,198.24,22.72,92.82,5.66,107.75,apple
9.55,78.73,18.05,20.03,64.61,6.31,46.05,lentil
61.62,50.32,43.06,24.75,81.09,7.2,180.53,jute
18.61,35.34,15.82,26.07,40.7,7.54,44.19,mothbeans
8.17,70.67,18.59,29.95,64.8,6.49,61.98,lentil
14.03,11.04,25.62,25.9,91.24,6.87,152.62,coconut
37.08,66.73,24.29,31.41,63.12,6.79,65.66,blackgram
95.55,46.61,40.16,24.33,75.53,6.98,155.99,jute
39.7,41.02,23.74,29.49,82.25,6.4,50.24,mungbean
122.33,56.53,23.31,24.26,80.48,5.67,105.76,cotton
95.12,5.12,45.09,25.38,84.88,6.02,50.3,watermelon
4.19,145.75,198.1,23.89,90.59,6.46,102.28,apple
14.95,131.64,195.96,39.1,80.36,6.15,69.13,grapes
26.2,16.15,28.47,29.18,97.58,5.98,149.27,coconut
19.96,147.95,200.83,26.31,81.82,5.71,65.04,grapes
110.83,9.91,47.42,24.51,87.75,6.13,46.81,watermelon
98.48,44.36,38.71,25.69,83.79,6.98,269.39,rice
4.85,17.84,29.11,34.13,52.12,4.95,63.18,mango
14.31,15.21,33.39,27.35,54.4,6.73,81.42,mango
93.07,22.24,30.24,23.4,52.35,6.26,188.74,coffee
2.67,19.98,35.25,23.85,88.65,6.84,129.96,pomegranate
103.55,72.23,49.31,25.87,84.87,6.06,110.62,banana
20.6,124.96,204.78,11.67,83.73,6.41,70.25,grapes
68.59,57.23,44.93,23.35,87.25,6.59,176.2,jute
0.85,13.42,6.44,15.82,94.53,6.06,104.4,orange
103.23,51.42,21.54,22.76,78.19,7.49,93.92,cotton
26.49,18.96,31.88,28.41,49.25,5.12,89.94,mango
51.76,66.92,50.44,27.24,94.26,6.56,83.44,papaya
92.78,7.51,47.63,27.11,93.52,6.49,20.94,muskmelon
8.5,51.59,19.11,27.22,62.11,9.23,65.91,mothbeans
95.73,50.91,41.89,25.67,78.99,7.03,153.49,jute
21.2,62.7,85.57,17.81,18.04,8.41,68.76,chickpea
38.46,51.7,24.33,26.12,55.29,7.84,39.29,mothbeans
16.65,11.73,40.99,18.5,87.27,6.93,145.88,pomegranate
95.93,13.7,54.48,24.21,85.07,6.33,47.62,watermelon
2.01,36.32,21.92,27.66,45.66,7.43,36.38,mothbeans
130.52,39.21,21.31,22.69,84.47,6.08,71.32,cotton
39.58,66.49,54.25,40.18,91.67,6.27,155.32,papaya
93.04,12.13,51.03,26.96,89.38,6.86,53.34,watermelon
36.69,45.16,16.43,29.72,47.33,6.86,56.4,mothbeans
84.66,50.84,40.36,20.63,83.34,5.98,203.64,rice
1.69,21.85,30.37,27.22,96.34,6.74,178.49,coconut
27.3,49.38,19.29,26.21,59.21,4.95,56.16,mothbeans
10.88,40.45,21.62,29.07,54.84,3.6,57.8,mothbeans
90.94,38.27,24.7,21.63,59.72,5.61,68.49,maize
76.92,44.96,41.16,24.45,80.18,6.06,254.6,rice
78.06,39.09,22.95,23.55,59.42,5.62,94.02,maize
23.47,11.86,25.32,29.1,92.76,6.69,165.94,coconut
